id,bug.id,treatment,temp.avg,temp.var,hs.treat,date.died,date.hatch,date.ovp,time.ovp,num.ovp,date.3,mass.3,date.4,mass.4,date.5,mass.5,date.hs,time.in.hs,time.out.hs,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.coc.late,num.coc.tot,num.fail.spin,num.fail.spin.late,num.fail.spin.tot,date.em.late,late.em,num.unem,load,date.postem.1,fed.postem.1,num.frass.postem.1,date.postem.2,fed.postem.2,num.frass.postem.2,date.postem.3,fed.postem.3,num.frass.postem.3,date.postem.4,fed.postem.4,num.frass.postem.4,date.postem.5,fed.postem.5,num.frass.postem.5,date.postem.6,fed.postem.6,num.frass.postem.6,date.postem.7,fed.postem.7,num.frass.postem.7,mass.postem.end,date.ecl,num.ecl,date.ecl.late,num.ecl.late,tot.ecl,live.fem,live.fem.late,live.male,live.unk,live.male.late,tot.dead,tot.dead.norm,tot.dead.late,dead.fem,dead.fem.late,dead.male,dead.male.late,dead.ad.unk,dead.ad.unk.late,dead.larv,dead.larv.late,dead.epup,dead.epup.late,dead.mpup.tot,dead.mpup.unk,dead.mpup.f,dead.mpup.m,dead.mpup.tot.late,dead.mpup.unk.late,dead.mpup.f.late,dead.mpup.m.late,dead.lpup.tot,dead.lpup.unk,dead.lpup.f,dead.lpup.m,dead.lpup.tot.late,dead.lpup.unk.late,dead.lpup.f.late,dead.lpup.m.late,wand,gen.notes,diss.notes,,,,,,,,,,,,,
2,,para,28,0,hs.5,3/28/18,3/22/18,3/27/18,6:35,1,3/27/18,19.8,,,,,,,,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
3,,para,28,10,hs.5,,3/22/18,3/27/18,6:48,2,3/27/18,63.37,3/30/18,304.81,4/2/18,887.45,,,,4/9/18,5,0,3694.41,52.00,44,,44,8,,8,,,,52.00,4/10/18,0,1,4/11/18,0,0,4/12/18,1,1,4/13/18,1,1,4/14/18,1,1,4/15/18,1,2,4/16/18,1,5,3488.44,4/15/18,27,,0,27,4,,23,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,"had 1 piece of frass in dish on day 1 postem, but was small and dry, seemed like just expelled during wasp em--diet block had no sign of feeding",,,,,,,,,,,,,,
4,,para,28,10,hs.5,3/29/18,3/22/18,3/27/18,6:42,2,3/27/18,20.92,,,,,,,,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,listed as 2 ovp. likely just 1 because the first was short.,,,,,,,,,,,,,,
8,,para,28,0,0,,3/24/18,3/28/18,6:09,2,3/28/18,71.64,3/31/18,350.64,4/4/18,1839.18,,,,4/8/18,5,0,4407.14,165.00,142,,142,23,,23,,,,165.00,4/9/18,0,0,4/10/18,0,0,4/11/18,1,1,4/12/18,0,0,4/13/18,0,1,4/14/18,1,1,4/16/18,1,4,3796.48,4/12/18,114,,0,114,58,,56,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,was weighed postem. on 4/16/18.,,,,,,,,,,,,,,
9,,para,28,0,0,,3/24/18,3/28/18,6:14,2,3/28/18,41.24,3/31/18,336.92,4/3/18,973.77,,,,4/7/18,5,0,2483.93,65.00,63,,63,2,,2,,,8,73.00,4/8/18,0,0,4/9/18,0,0,4/10/18,1,2,4/11/18,1,4,4/12/18,1,2,4/13/18,1,2,4/14/18,0,1,,4/11/18,55,,0,55,23,,32,,,8,8,0,1,,2,,0,,3,,1,,0,,,,0,,,,1,1,,,0,,,,,looks like there is a divot in the diet (1 day postem) but no frass. diet looks the same (day 2 postem) no frass. diet eaten and 2 pieces of frass present (day 3 postem).,all late 2nds ,,,,,,,,,,,,,
12,,para,28,0,hs.5,,3/24/18,3/28/18,6:12,2,3/28/18,65.09,3/30/18,213.54,4/3/18,1814.92,4/4/18,7:28,8:37,4/7/18,5,0,4483.44,158.00,144,,144,14,,14,,,,158.00,4/8/18,0,0,4/9/18,0,0,4/10/18,1,2,4/11/18,1,6,4/12/18,1,3,4/13/18,1,3,4/14/18,1,3,,4/11/18,104,,0,104,56,,48,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,"had some sign that it had chewed the diet 1 day after em, but there was no frass. diet eaten and 2 pieces of frass present (day 3 postem)",,,,,,,,,,,,,,
13,,para,28,0,hs.5,,3/24/18,3/28/18,6:04,2,3/28/18,50.69,3/31/18,325.78,4/3/18,966.66,4/4/18,7:28,8:37,4/7/18,5,0,2910.87,82.00,70,,70,12,,12,,,,82.00,4/8/18,0,0,4/9/18,1,1,4/10/18,1,7,4/11/18,1,4,4/12/18,1,8,4/13/18,1,5,4/14/18,1,6,,4/11/18,57,,0,57,22,,35,,,13,13,0,2,,2,,0,,2,,2,,0,,,,0,,,,5,5,,,0,,,,,"day 2 post em, diet has been chewed and there was 2 pieces of frass. diet eaten and 7 pieces of frass present (day 3 postem)",,,,,,,,,,,,,,
16,,para,28,10,0,,3/24/18,3/28/18,10:17,1,3/28/18,33.52,4/1/18,329.28,4/5/18,1040.79,,,,4/11/18,5,0,2976.57,51.00,43,,43,8,,8,,,,51.00,4/12/18,0,0,4/13/18,0,0,4/14/18,1,1,4/15/18,0,2,4/16/18,1,2,4/17/18,1,2,4/18/18,1,4,2825.28,4/17/18,33,,0,33,12,,21,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,removed cuticle from last proleg after molt into 5th,,,,,,,,,,,,,,
18,,para,28,10,hs.5,,3/24/18,3/28/18,10:20,1,3/28/18,41.77,4/1/18,228.22,4/6/18,1336.91,4/7/18,7:31,8:39,4/11/18,5,0,3322.98,87.00,60,5,65,22,0,22,4/14/18,1,,88.00,4/12/18,0,0,4/13/18,0,0,4/14/18,0,0,4/15/18,0,1,4/16/18,0,0,4/17/18,0,0,4/18/18,0,1,2979.37,4/18/18,35,4/20/18,1,36,3,0,32,,1,25,25,0,2,,1,,,,6,,5,,1,,,1,0,,,,10,,1,9,0,,,,,"3 days after wasp emergence, (1 day after removing cocoons) found more cocoons (5) on caterpillar. removed, and put in their own cup, labeled 18 late. eclosed 4/20/18",,,,,,,,,,,,,,
20,,para,28,10,hs.5,,3/24/18,3/28/18,10:52,1,3/28/18,50.84,4/1/18,243.32,4/5/18,875.95,4/6/18,7:31,8:36,4/10/18,5,0,2524.87,58.00,55,,55,3,,3,,,,58.00,4/11/18,0,1,4/12/18,0,0,4/13/18,1,2,4/14/18,1,3,4/15/18,1,5,4/16/18,0,2,4/17/18,1,2,2476.46,4/16/18,51,,0,51,28,,23,,,4,4,0,2,,1,,,,,,,,1,,1,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
21,,para,28,10,hs.4,,3/24/28,3/28/18,12:56,1,3/28/18,33.99,4/1/18,159.31,4/6/18,708.43,4/2/18,7:30,8:37,4/11/18,5,0,1802.07,49.00,40,,40,9,,9,,,,49.00,4/12/18,0,0,4/13/18,0,0,4/14/18,1,2,4/15/18,1,3,4/16/18,1,6,4/17/18,1,4,4/18/18,1,7,2239.84,4/17/18,33,,0,33,10,,23,,,6,6,0,1,,,,,,3,,1,,1,,1,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
22,,para,28,10,hs.5,,3/24/28,3/28/18,12:58,1,3/28/18,43.58,4/1/18,250.94,4/6/18,1538.67,4/7/18,7:31,8:39,4/11/18,5,0,2981.15,88.00,75,,75,13,,13,,,,88.00,4/12/18,0,0,4/13/18,1,2,4/14/18,0,0,4/15/18,0,0,4/16/18,0,1,4/17/18,0,0,4/18/18,0,0,2695.97,4/17/18,51,,0,51,27,,24,,,24,24,0,,,,,,,10,,4,,3,,2,1,0,,,,7,,3,4,0,,,,,,,,,,,,,,,,,,,
24,,para,28,10,hs.5,,3/24/28,3/28/18,13:02,1,3/28/18,41.92,4/1/18,217.67,4/5/18,1085.43,4/6/18,7:31,8:36,4/11/18,5,1,2195.3,66.00,57,,57,9,,9,,,,66.00,4/12/18,0,0,4/13/18,0,0,4/14/18,1,2,4/15/18,1,1,4/16/18,1,1,4/17/18,1,1,4/18/18,1,2,2026.35,4/17/18,50,,0,50,36,,14,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,removed cuticle from last proleg after molt into 5th,,,,,,,,,,,,,,
25,,para,28,10,0,,3/24/18,3/29/18,5:32,1,3/29/18,60.56,3/31/18,222.24,4/4/18,1399.21,,,,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,"wandered 4/9/18, mass=107755.72. discarded",,,,,,,,,,,,,,
26,,para,28,10,hs.4,,3/25/18,3/29/18,5:34,2,3/29/18,41.77,4/1/18,184.49,4/5/18,851.71,4/2/18,7:30,8:37,4/11/18,5,0,3310.66,41.00,35,,35,6,,6,,,,41.00,4/12/18,0,0,4/13/18,1,2,4/14/18,0,1,4/15/18,1,2,4/16/18,1,2,4/17/18,1,2,4/18/18,1,4,2642.33,4/18/18,32,,0,32,7,,25,,,3,3,0,,,2,,,,,,1,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
27,,para,28,0,0,3/30/18,3/25/18,3/29/18,5:45,2,3/29/18,39.58,,,,,,,,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,,,,,,,,,,,,,,,
28,,para,28,0,hs.4,,3/25/18,3/29/18,5:37,2,3/29/18,47.12,4/1/18,309.98,4/5/18,1961.93,4/2/18,7:30,8:37,4/8/18,5,0,3470.01,74.00,74,,74,0,,0,,,,74.00,4/9/18,0,0,4/10/18,0,0,4/11/18,1,1,4/12/18,1,1,4/13/18,1,3,4/14/18,1,1,4/16/18,1,3,3123.13,4/13/18,69,,0,69,20,,49,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,was weighed postem. on 4/16/18.,,,,,,,,,,,,,,
29,,para,28,0,hs.5,,3/25/18,3/29/18,5:40,1,3/29/18,42.98,4/1/18,227.07,4/5/18,1158.33,4/6/18,7:31,8:36,4/8/18,5,0,2459.96,82.00,80,,80,2,,2,,,,82.00,4/9/18,0,0,4/10/18,0,0,4/11/18,1,1,4/12/18,0,0,4/13/18,0,0,4/14/18,0,1,4/16/18,0,1,2110.41,4/13/18,73,,0,73,0,,73,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,was weighed postem. on 4/16/18.,,,,,,,,,,,,,,
30,,para,28,0,0,,3/25/18,3/29/18,5:43,1,3/29/18,57.67,3/31/18,220.99,4/4/18,2798.23,,,,,,,,0.00,,,0,,,0,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,,,0,0,0,,,,,,,,,,,0,,,,0,,,,0,,,,0,,,,,wandered 4/8/18. mass: 13227.70. discarded ,,,,,,,,,,,,,,
